Region,Campus,Scholars
NATIONAL CAPITAL REGION ,Main Campus ,891
NATIONAL CAPITAL REGION ,Southern Mindanao Campus ,0
NATIONAL CAPITAL REGION ,Western Visayas Campus ,0
NATIONAL CAPITAL REGION ,Eastern Visayas Campus ,9
NATIONAL CAPITAL REGION ,Cagayan Valley Campus ,6
NATIONAL CAPITAL REGION ,Bicol Region Campus ,5
NATIONAL CAPITAL REGION ,Central Mindanao Campus ,0
NATIONAL CAPITAL REGION ,Ilocos Region Campus ,10
NATIONAL CAPITAL REGION ,Central Visayas Campus ,0
NATIONAL CAPITAL REGION ,Cordillera Admin.    Region Campus ,30
NATIONAL CAPITAL REGION ,Central Luzon Campus ,64
NATIONAL CAPITAL REGION ,SOCCSKSARGEN Region Campus ,0
NATIONAL CAPITAL REGION ,CARAGA Region Campus ,0
NATIONAL CAPITAL REGION ,CALABARZON Region Campus ,25
NATIONAL CAPITAL REGION ,MIMAROPA Region Campus ,0
NATIONAL CAPITAL REGION ,Zamboanga Peninsula Region Campus ,4
CORDILLERA ADMINISTRATIVE REGION,Main Campus ,4
CORDILLERA ADMINISTRATIVE REGION,Southern Mindanao Campus ,1
CORDILLERA ADMINISTRATIVE REGION,Western Visayas Campus ,0
CORDILLERA ADMINISTRATIVE REGION,Eastern Visayas Campus ,0
CORDILLERA ADMINISTRATIVE REGION,Cagayan Valley Campus ,14
CORDILLERA ADMINISTRATIVE REGION,Bicol Region Campus ,0
CORDILLERA ADMINISTRATIVE REGION,Central Mindanao Campus ,0
CORDILLERA ADMINISTRATIVE REGION,Ilocos Region Campus ,5
CORDILLERA ADMINISTRATIVE REGION,Central Visayas Campus ,0
CORDILLERA ADMINISTRATIVE REGION,Cordillera Admin.    Region Campus ,355
CORDILLERA ADMINISTRATIVE REGION,Central Luzon Campus ,1
CORDILLERA ADMINISTRATIVE REGION,SOCCSKSARGEN Region Campus ,0
CORDILLERA ADMINISTRATIVE REGION,CARAGA Region Campus ,0
CORDILLERA ADMINISTRATIVE REGION,CALABARZON Region Campus ,0
CORDILLERA ADMINISTRATIVE REGION,MIMAROPA Region Campus ,0
CORDILLERA ADMINISTRATIVE REGION,Zamboanga Peninsula Region Campus ,0
REGION I,Main Campus ,43
REGION I,Southern Mindanao Campus ,0
REGION I,Western Visayas Campus ,0
REGION I,Eastern Visayas Campus ,0
REGION I,Cagayan Valley Campus ,0
REGION I,Bicol Region Campus ,0
REGION I,Central Mindanao Campus ,0
REGION I,Ilocos Region Campus ,482
REGION I,Central Visayas Campus ,0
REGION I,Cordillera Admin.    Region Campus ,106
REGION I,Central Luzon Campus ,17
REGION I,SOCCSKSARGEN Region Campus ,0
REGION I,CARAGA Region Campus ,0
REGION I,CALABARZON Region Campus ,0
REGION I,MIMAROPA Region Campus ,0
REGION I,Zamboanga Peninsula Region Campus ,0
REGION II,Main Campus ,24
REGION II,Southern Mindanao Campus ,0
REGION II,Western Visayas Campus ,0
REGION II,Eastern Visayas Campus ,0
REGION II,Cagayan Valley Campus ,489
REGION II,Bicol Region Campus ,0
REGION II,Central Mindanao Campus ,0
REGION II,Ilocos Region Campus ,8
REGION II,Central Visayas Campus ,0
REGION II,Cordillera Admin.    Region Campus ,1
REGION II,Central Luzon Campus ,7
REGION II,SOCCSKSARGEN Region Campus ,0
REGION II,CARAGA Region Campus ,0
REGION II,CALABARZON Region Campus ,0
REGION II,MIMAROPA Region Campus ,0
REGION II,Zamboanga Peninsula Region Campus ,0
REGION III,Main Campus ,63
REGION III,Southern Mindanao Campus ,0
REGION III,Western Visayas Campus ,0
REGION III,Eastern Visayas Campus ,0
REGION III,Cagayan Valley Campus ,14
REGION III,Bicol Region Campus ,0
REGION III,Central Mindanao Campus ,0
REGION III,Ilocos Region Campus ,5
REGION III,Central Visayas Campus ,0
REGION III,Cordillera Admin.    Region Campus ,6
REGION III,Central Luzon Campus ,389
REGION III,SOCCSKSARGEN Region Campus ,0
REGION III,CARAGA Region Campus ,0
REGION III,CALABARZON Region Campus ,0
REGION III,MIMAROPA Region Campus ,0
REGION III,Zamboanga Peninsula Region Campus ,0
REGION  IVA,Main Campus ,309
REGION  IVA,Southern Mindanao Campus ,0
REGION  IVA,Western Visayas Campus ,0
REGION  IVA,Eastern Visayas Campus ,0
REGION  IVA,Cagayan Valley Campus ,1
REGION  IVA,Bicol Region Campus ,13
REGION  IVA,Central Mindanao Campus ,0
REGION  IVA,Ilocos Region Campus ,10
REGION  IVA,Central Visayas Campus ,1
REGION  IVA,Cordillera Admin.    Region Campus ,16
REGION  IVA,Central Luzon Campus ,39
REGION  IVA,SOCCSKSARGEN Region Campus ,0
REGION  IVA,CARAGA Region Campus ,3
REGION  IVA,CALABARZON Region Campus ,228
REGION  IVA,MIMAROPA Region Campus ,0
REGION  IVA,Zamboanga Peninsula Region Campus ,0
REGION IVB,Main Campus ,8
REGION IVB,Southern Mindanao Campus ,0
REGION IVB,Western Visayas Campus ,0
REGION IVB,Eastern Visayas Campus ,0
REGION IVB,Cagayan Valley Campus ,0
REGION IVB,Bicol Region Campus ,2
REGION IVB,Central Mindanao Campus ,0
REGION IVB,Ilocos Region Campus ,0
REGION IVB,Central Visayas Campus ,2
REGION IVB,Cordillera Admin.    Region Campus ,1
REGION IVB,Central Luzon Campus ,1
REGION IVB,SOCCSKSARGEN Region Campus ,0
REGION IVB,CARAGA Region Campus ,0
REGION IVB,CALABARZON Region Campus ,15
REGION IVB,MIMAROPA Region Campus ,67
REGION IVB,Zamboanga Peninsula Region Campus ,0
REGION V,Main Campus ,12
REGION V,Southern Mindanao Campus ,0
REGION V,Western Visayas Campus ,0
REGION V,Eastern Visayas Campus ,0
REGION V,Cagayan Valley Campus ,0
REGION V,Bicol Region Campus ,517
REGION V,Central Mindanao Campus ,0
REGION V,Ilocos Region Campus ,0
REGION V,Central Visayas Campus ,1
REGION V,Cordillera Admin.    Region Campus ,0
REGION V,Central Luzon Campus ,3
REGION V,SOCCSKSARGEN Region Campus ,0
REGION V,CARAGA Region Campus ,0
REGION V,CALABARZON Region Campus ,0
REGION V,MIMAROPA Region Campus ,0
REGION V,Zamboanga Peninsula Region Campus ,0
REGION VI,Main Campus ,8
REGION VI,Southern Mindanao Campus ,0
REGION VI,Western Visayas Campus ,537
REGION VI,Eastern Visayas Campus ,0
REGION VI,Cagayan Valley Campus ,0
REGION VI,Bicol Region Campus ,0
REGION VI,Central Mindanao Campus ,0
REGION VI,Ilocos Region Campus ,0
REGION VI,Central Visayas Campus ,0
REGION VI,Cordillera Admin.    Region Campus ,0
REGION VI,Central Luzon Campus ,1
REGION VI,SOCCSKSARGEN Region Campus ,0
REGION VI,CARAGA Region Campus ,0
REGION VI,CALABARZON Region Campus ,0
REGION VI,MIMAROPA Region Campus ,0
REGION VI,Zamboanga Peninsula Region Campus ,0
REGION VII,Main Campus ,10
REGION VII,Southern Mindanao Campus ,0
REGION VII,Western Visayas Campus ,0
REGION VII,Eastern Visayas Campus ,3
REGION VII,Cagayan Valley Campus ,0
REGION VII,Bicol Region Campus ,0
REGION VII,Central Mindanao Campus ,0
REGION VII,Ilocos Region Campus ,0
REGION VII,Central Visayas Campus ,486
REGION VII,Cordillera Admin.    Region Campus ,1
REGION VII,Central Luzon Campus ,0
REGION VII,SOCCSKSARGEN Region Campus ,0
REGION VII,CARAGA Region Campus ,0
REGION VII,CALABARZON Region Campus ,0
REGION VII,MIMAROPA Region Campus ,0
REGION VII,Zamboanga Peninsula Region Campus ,0
REGION VIII,Main Campus ,6
REGION VIII,Southern Mindanao Campus ,1
REGION VIII,Western Visayas Campus ,0
REGION VIII,Eastern Visayas Campus ,521
REGION VIII,Cagayan Valley Campus ,0
REGION VIII,Bicol Region Campus ,0
REGION VIII,Central Mindanao Campus ,0
REGION VIII,Ilocos Region Campus ,0
REGION VIII,Central Visayas Campus ,4
REGION VIII,Cordillera Admin.    Region Campus ,0
REGION VIII,Central Luzon Campus ,0
REGION VIII,SOCCSKSARGEN Region Campus ,0
REGION VIII,CARAGA Region Campus ,0
REGION VIII,CALABARZON Region Campus ,0
REGION VIII,MIMAROPA Region Campus ,0
REGION VIII,Zamboanga Peninsula Region Campus ,1
REGION IX,Main Campus ,5
REGION IX,Southern Mindanao Campus ,3
REGION IX,Western Visayas Campus ,0
REGION IX,Eastern Visayas Campus ,0
REGION IX,Cagayan Valley Campus ,0
REGION IX,Bicol Region Campus ,0
REGION IX,Central Mindanao Campus ,61
REGION IX,Ilocos Region Campus ,0
REGION IX,Central Visayas Campus ,14
REGION IX,Cordillera Admin.    Region Campus ,0
REGION IX,Central Luzon Campus ,0
REGION IX,SOCCSKSARGEN Region Campus ,0
REGION IX,CARAGA Region Campus ,0
REGION IX,CALABARZON Region Campus ,0
REGION IX,MIMAROPA Region Campus ,0
REGION IX,Zamboanga Peninsula Region Campus ,86
REGION X,Main Campus ,12
REGION X,Southern Mindanao Campus ,26
REGION X,Western Visayas Campus ,0
REGION X,Eastern Visayas Campus ,1
REGION X,Cagayan Valley Campus ,0
REGION X,Bicol Region Campus ,0
REGION X,Central Mindanao Campus ,415
REGION X,Ilocos Region Campus ,0
REGION X,Central Visayas Campus ,4
REGION X,Cordillera Admin.    Region Campus ,0
REGION X,Central Luzon Campus ,0
REGION X,SOCCSKSARGEN Region Campus ,0
REGION X,CARAGA Region Campus ,16
REGION X,CALABARZON Region Campus ,0
REGION X,MIMAROPA Region Campus ,0
REGION X,Zamboanga Peninsula Region Campus ,16
REGION XI,Main Campus ,7
REGION XI,Southern Mindanao Campus ,399
REGION XI,Western Visayas Campus ,0
REGION XI,Eastern Visayas Campus ,0
REGION XI,Cagayan Valley Campus ,0
REGION XI,Bicol Region Campus ,0
REGION XI,Central Mindanao Campus ,0
REGION XI,Ilocos Region Campus ,0
REGION XI,Central Visayas Campus ,0
REGION XI,Cordillera Admin.    Region Campus ,0
REGION XI,Central Luzon Campus ,0
REGION XI,SOCCSKSARGEN Region Campus ,11
REGION XI,CARAGA Region Campus ,3
REGION XI,CALABARZON Region Campus ,0
REGION XI,MIMAROPA Region Campus ,0
REGION XI,Zamboanga Peninsula Region Campus ,1
REGION XII,Main Campus ,3
REGION XII,Southern Mindanao Campus ,72
REGION XII,Western Visayas Campus ,0
REGION XII,Eastern Visayas Campus ,0
REGION XII,Cagayan Valley Campus ,0
REGION XII,Bicol Region Campus ,0
REGION XII,Central Mindanao Campus ,2
REGION XII,Ilocos Region Campus ,0
REGION XII,Central Visayas Campus ,0
REGION XII,Cordillera Admin.    Region Campus ,2
REGION XII,Central Luzon Campus ,0
REGION XII,SOCCSKSARGEN Region Campus ,395
REGION XII,CARAGA Region Campus ,1
REGION XII,CALABARZON Region Campus ,0
REGION XII,MIMAROPA Region Campus ,0
REGION XII,Zamboanga Peninsula Region Campus ,2
CARAGA REGION,Main Campus ,9
CARAGA REGION,Southern Mindanao Campus ,31
CARAGA REGION,Western Visayas Campus ,0
CARAGA REGION,Eastern Visayas Campus ,1
CARAGA REGION,Cagayan Valley Campus ,0
CARAGA REGION,Bicol Region Campus ,0
CARAGA REGION,Central Mindanao Campus ,4
CARAGA REGION,Ilocos Region Campus ,0
CARAGA REGION,Central Visayas Campus ,4
CARAGA REGION,Cordillera Admin.    Region Campus ,0
CARAGA REGION,Central Luzon Campus ,1
CARAGA REGION,SOCCSKSARGEN Region Campus ,0
CARAGA REGION,CARAGA Region Campus ,324
CARAGA REGION,CALABARZON Region Campus ,0
CARAGA REGION,MIMAROPA Region Campus ,0
CARAGA REGION,Zamboanga Peninsula Region Campus ,0
AUTONOMOUS REGION OF MUSLIM MINDANAO,Main Campus ,0
AUTONOMOUS REGION OF MUSLIM MINDANAO,Southern Mindanao Campus ,0
AUTONOMOUS REGION OF MUSLIM MINDANAO,Western Visayas Campus ,0
AUTONOMOUS REGION OF MUSLIM MINDANAO,Eastern Visayas Campus ,0
AUTONOMOUS REGION OF MUSLIM MINDANAO,Cagayan Valley Campus ,0
AUTONOMOUS REGION OF MUSLIM MINDANAO,Bicol Region Campus ,0
AUTONOMOUS REGION OF MUSLIM MINDANAO,Central Mindanao Campus ,39
AUTONOMOUS REGION OF MUSLIM MINDANAO,Ilocos Region Campus ,0
AUTONOMOUS REGION OF MUSLIM MINDANAO,Central Visayas Campus ,0
AUTONOMOUS REGION OF MUSLIM MINDANAO,Cordillera Admin.    Region Campus ,0
AUTONOMOUS REGION OF MUSLIM MINDANAO,Central Luzon Campus ,0
AUTONOMOUS REGION OF MUSLIM MINDANAO,SOCCSKSARGEN Region Campus ,5
AUTONOMOUS REGION OF MUSLIM MINDANAO,CARAGA Region Campus ,0
AUTONOMOUS REGION OF MUSLIM MINDANAO,CALABARZON Region Campus ,0
AUTONOMOUS REGION OF MUSLIM MINDANAO,MIMAROPA Region Campus ,0
AUTONOMOUS REGION OF MUSLIM MINDANAO,Zamboanga Peninsula Region Campus ,1
