year,region,species,diameter,php_per_cubic_meter
2013,National,Falcata,60 cm and above,1600
2013,National,Gmelina,60 cm and above,6654.33
2013,National,Ipil-Ipil,60 cm and above,2500
2013,National,Mahogany,60 cm and above,10113.56
2013,V (Bicol Region),Falcata,60 cm and above,-
2013,V (Bicol Region),Gmelina,60 cm and above,10600
2013,V (Bicol Region),Ipil-Ipil,60 cm and above,-
2013,V (Bicol Region),Mahogany,60 cm and above,14840
2013,VII (Central Visayas),Falcata,60 cm and above,-
2013,VII (Central Visayas),Gmelina,60 cm and above,11271.33
2013,VII (Central Visayas),Ipil-Ipil,60 cm and above,-
2013,VII (Central Visayas),Mahogany,60 cm and above,11200.67
2013,VIII (Eastern Visayas),Falcata,60 cm and above,-
2013,VIII (Eastern Visayas),Gmelina,60 cm and above,-
2013,VIII (Eastern Visayas),Ipil-Ipil,60 cm and above,-
2013,VIII (Eastern Visayas),Mahogany,60 cm and above,4300
2013,XI (Davao Region),Falcata,60 cm and above,1600
2013,XI (Davao Region),Gmelina,60 cm and above,1800
2013,XI (Davao Region),Ipil-Ipil,60 cm and above,-
2013,XI (Davao Region),Mahogany,60 cm and above,-
2013,XII (SOCCSKSARGEN),Falcata,60 cm and above,-
2013,XII (SOCCSKSARGEN),Gmelina,60 cm and above,2946
2013,XII (SOCCSKSARGEN),Ipil-Ipil,60 cm and above,2500
2013,XII (SOCCSKSARGEN),Mahogany,60 cm and above,-
2012,National,Acacia,60 cm and above,9229
2012,National,Almon,60 cm and above,4900
2012,National,Apitong,60 cm and above,3000
2012,National,Bagras,60 cm and above,3000
2012,National,Bagtikan,60 cm and above,3800
2012,National,Binuang,60 cm and above,3000
2012,National,Falcata,60 cm and above,2336
2012,National,Gmelina,60 cm and above,7632
2012,National,Lauan,60 cm and above,4300
2012,National,Loktob,60 cm and above,3000
2012,National,Mahogany,60 cm and above,2500
2012,National,Marang,60 cm and above,3000
2012,National,Tangile,60 cm and above,3800
2012,III (Central Luzon),Acacia,60 cm and above,-
2012,III (Central Luzon),Almon,60 cm and above,6000
2012,III (Central Luzon),Apitong,60 cm and above,-
2012,III (Central Luzon),Bagras,60 cm and above,-
2012,III (Central Luzon),Bagtikan,60 cm and above,-
2012,III (Central Luzon),Binuang,60 cm and above,-
2012,III (Central Luzon),Falcata,60 cm and above,-
2012,III (Central Luzon),Gmelina,60 cm and above,-
2012,III (Central Luzon),Lauan,60 cm and above,-
2012,III (Central Luzon),Loktob,60 cm and above,-
2012,III (Central Luzon),Mahogany,60 cm and above,2000
2012,III (Central Luzon),Marang,60 cm and above,-
2012,III (Central Luzon),Tangile,60 cm and above,-
2012,V (Bicol Region),Acacia,60 cm and above,9229
2012,V (Bicol Region),Almon,60 cm and above,-
2012,V (Bicol Region),Apitong,60 cm and above,-
2012,V (Bicol Region),Bagras,60 cm and above,-
2012,V (Bicol Region),Bagtikan,60 cm and above,-
2012,V (Bicol Region),Binuang,60 cm and above,-
2012,V (Bicol Region),Falcata,60 cm and above,-
2012,V (Bicol Region),Gmelina,60 cm and above,7632
2012,V (Bicol Region),Lauan,60 cm and above,-
2012,V (Bicol Region),Loktob,60 cm and above,-
2012,V (Bicol Region),Mahogany,60 cm and above,-
2012,V (Bicol Region),Marang,60 cm and above,-
2012,V (Bicol Region),Tangile,60 cm and above,-
2012,XI (Davao Region),Acacia,60 cm and above,-
2012,XI (Davao Region),Almon,60 cm and above,3800
2012,XI (Davao Region),Apitong,60 cm and above,3000
2012,XI (Davao Region),Bagras,60 cm and above,3000
2012,XI (Davao Region),Bagtikan,60 cm and above,3800
2012,XI (Davao Region),Binuang,60 cm and above,3000
2012,XI (Davao Region),Falcata,60 cm and above,2672
2012,XI (Davao Region),Gmelina,60 cm and above,-
2012,XI (Davao Region),Lauan,60 cm and above,4300
2012,XI (Davao Region),Loktob,60 cm and above,3000
2012,XI (Davao Region),Mahogany,60 cm and above,3000
2012,XI (Davao Region),Marang,60 cm and above,3000
2012,XI (Davao Region),Tangile,60 cm and above,3800
2012,XIII (Caraga),Acacia,60 cm and above,-
2012,XIII (Caraga),Almon,60 cm and above,-
2012,XIII (Caraga),Apitong,60 cm and above,-
2012,XIII (Caraga),Bagras,60 cm and above,-
2012,XIII (Caraga),Bagtikan,60 cm and above,-
2012,XIII (Caraga),Binuang,60 cm and above,-
2012,XIII (Caraga),Falcata,60 cm and above,2000
2012,XIII (Caraga),Gmelina,60 cm and above,-
2012,XIII (Caraga),Lauan,60 cm and above,-
2012,XIII (Caraga),Loktob,60 cm and above,-
2012,XIII (Caraga),Mahogany,60 cm and above,-
2012,XIII (Caraga),Marang,60 cm and above,-
2012,XIII (Caraga),Tangile,60 cm and above,-
2011,National,Acacia,60 cm and above,5316
2011,National,Almon,60 cm and above,3800
2011,National,Apitong,60 cm and above,3650
2011,National,Bagras,60 cm and above,3000
2011,National,Bagtikan,60 cm and above,4900
2011,National,Binuang,60 cm and above,3000
2011,National,Dangula,60 cm and above,3500
2011,National,Falcata,60 cm and above,2353.25
2011,National,Gmelina,60 cm and above,6884
2011,National,Lauan,60 cm and above,6157.5
2011,National,Loktob,60 cm and above,3000
2011,National,Mahogany,60 cm and above,5471.25
2011,National,Malugay,60 cm and above,3500
2011,National,Marang,60 cm and above,3000
2011,National,Mayapis,60 cm and above,6000
2011,National,Nato,60 cm and above,4500
2011,National,Tangile,60 cm and above,4900
2011,National,Toog,60 cm and above,3950
2011,National,Yakal,60 cm and above,6000
2011,III (Central Luzon),Acacia,60 cm and above,-
2011,III (Central Luzon),Almon,60 cm and above,-
2011,III (Central Luzon),Apitong,60 cm and above,-
2011,III (Central Luzon),Bagras,60 cm and above,-
2011,III (Central Luzon),Bagtikan,60 cm and above,6000
2011,III (Central Luzon),Binuang,60 cm and above,-
2011,III (Central Luzon),Dangula,60 cm and above,-
2011,III (Central Luzon),Falcata,60 cm and above,-
2011,III (Central Luzon),Gmelina,60 cm and above,-
2011,III (Central Luzon),Lauan,60 cm and above,-
2011,III (Central Luzon),Loktob,60 cm and above,-
2011,III (Central Luzon),Mahogany,60 cm and above,-
2011,III (Central Luzon),Malugay,60 cm and above,-
2011,III (Central Luzon),Marang,60 cm and above,-
2011,III (Central Luzon),Mayapis,60 cm and above,6000
2011,III (Central Luzon),Nato,60 cm and above,-
2011,III (Central Luzon),Tangile,60 cm and above,6000
2011,III (Central Luzon),Toog,60 cm and above,-
2011,III (Central Luzon),Yakal,60 cm and above,-
2011,V (Bicol Region),Acacia,60 cm and above,7632
2011,V (Bicol Region),Almon,60 cm and above,-
2011,V (Bicol Region),Apitong,60 cm and above,-
2011,V (Bicol Region),Bagras,60 cm and above,-
2011,V (Bicol Region),Bagtikan,60 cm and above,-
2011,V (Bicol Region),Binuang,60 cm and above,-
2011,V (Bicol Region),Dangula,60 cm and above,-
2011,V (Bicol Region),Falcata,60 cm and above,-
2011,V (Bicol Region),Gmelina,60 cm and above,-
2011,V (Bicol Region),Lauan,60 cm and above,-
2011,V (Bicol Region),Loktob,60 cm and above,-
2011,V (Bicol Region),Mahogany,60 cm and above,-
2011,V (Bicol Region),Malugay,60 cm and above,-
2011,V (Bicol Region),Marang,60 cm and above,-
2011,V (Bicol Region),Mayapis,60 cm and above,-
2011,V (Bicol Region),Nato,60 cm and above,-
2011,V (Bicol Region),Tangile,60 cm and above,-
2011,V (Bicol Region),Toog,60 cm and above,-
2011,V (Bicol Region),Yakal,60 cm and above,-
2011,VII (Central Visayas),Acacia,60 cm and above,-
2011,VII (Central Visayas),Almon,60 cm and above,-
2011,VII (Central Visayas),Apitong,60 cm and above,-
2011,VII (Central Visayas),Bagras,60 cm and above,-
2011,VII (Central Visayas),Bagtikan,60 cm and above,-
2011,VII (Central Visayas),Binuang,60 cm and above,-
2011,VII (Central Visayas),Dangula,60 cm and above,-
2011,VII (Central Visayas),Falcata,60 cm and above,-
2011,VII (Central Visayas),Gmelina,60 cm and above,10247
2011,VII (Central Visayas),Lauan,60 cm and above,-
2011,VII (Central Visayas),Loktob,60 cm and above,-
2011,VII (Central Visayas),Mahogany,60 cm and above,11063
2011,VII (Central Visayas),Malugay,60 cm and above,-
2011,VII (Central Visayas),Marang,60 cm and above,-
2011,VII (Central Visayas),Mayapis,60 cm and above,-
2011,VII (Central Visayas),Nato,60 cm and above,-
2011,VII (Central Visayas),Tangile,60 cm and above,-
2011,VII (Central Visayas),Toog,60 cm and above,-
2011,VII (Central Visayas),Yakal,60 cm and above,-
2011,VIII (Eastern Visayas),Acacia,60 cm and above,-
2011,VIII (Eastern Visayas),Almon,60 cm and above,-
2011,VIII (Eastern Visayas),Apitong,60 cm and above,-
2011,VIII (Eastern Visayas),Bagras,60 cm and above,-
2011,VIII (Eastern Visayas),Bagtikan,60 cm and above,-
2011,VIII (Eastern Visayas),Binuang,60 cm and above,-
2011,VIII (Eastern Visayas),Dangula,60 cm and above,-
2011,VIII (Eastern Visayas),Falcata,60 cm and above,-
2011,VIII (Eastern Visayas),Gmelina,60 cm and above,-
2011,VIII (Eastern Visayas),Lauan,60 cm and above,-
2011,VIII (Eastern Visayas),Loktob,60 cm and above,-
2011,VIII (Eastern Visayas),Mahogany,60 cm and above,4300
2011,VIII (Eastern Visayas),Malugay,60 cm and above,-
2011,VIII (Eastern Visayas),Marang,60 cm and above,-
2011,VIII (Eastern Visayas),Mayapis,60 cm and above,-
2011,VIII (Eastern Visayas),Nato,60 cm and above,-
2011,VIII (Eastern Visayas),Tangile,60 cm and above,-
2011,VIII (Eastern Visayas),Toog,60 cm and above,-
2011,VIII (Eastern Visayas),Yakal,60 cm and above,-
2011,IX (Zamboanga Peninsula),Acacia,60 cm and above,-
2011,IX (Zamboanga Peninsula),Almon,60 cm and above,-
2011,IX (Zamboanga Peninsula),Apitong,60 cm and above,-
2011,IX (Zamboanga Peninsula),Bagras,60 cm and above,-
2011,IX (Zamboanga Peninsula),Bagtikan,60 cm and above,-
2011,IX (Zamboanga Peninsula),Binuang,60 cm and above,-
2011,IX (Zamboanga Peninsula),Dangula,60 cm and above,-
2011,IX (Zamboanga Peninsula),Falcata,60 cm and above,2743
2011,IX (Zamboanga Peninsula),Gmelina,60 cm and above,5317
2011,IX (Zamboanga Peninsula),Lauan,60 cm and above,-
2011,IX (Zamboanga Peninsula),Loktob,60 cm and above,-
2011,IX (Zamboanga Peninsula),Mahogany,60 cm and above,3522
2011,IX (Zamboanga Peninsula),Malugay,60 cm and above,-
2011,IX (Zamboanga Peninsula),Marang,60 cm and above,-
2011,IX (Zamboanga Peninsula),Mayapis,60 cm and above,-
2011,IX (Zamboanga Peninsula),Nato,60 cm and above,-
2011,IX (Zamboanga Peninsula),Tangile,60 cm and above,-
2011,IX (Zamboanga Peninsula),Toog,60 cm and above,-
2011,IX (Zamboanga Peninsula),Yakal,60 cm and above,-
2011,X (Northern Mindanao),Acacia,60 cm and above,-
2011,X (Northern Mindanao),Almon,60 cm and above,-
2011,X (Northern Mindanao),Apitong,60 cm and above,-
2011,X (Northern Mindanao),Bagras,60 cm and above,-
2011,X (Northern Mindanao),Bagtikan,60 cm and above,-
2011,X (Northern Mindanao),Binuang,60 cm and above,-
2011,X (Northern Mindanao),Dangula,60 cm and above,-
2011,X (Northern Mindanao),Falcata,60 cm and above,2500
2011,X (Northern Mindanao),Gmelina,60 cm and above,-
2011,X (Northern Mindanao),Lauan,60 cm and above,-
2011,X (Northern Mindanao),Loktob,60 cm and above,-
2011,X (Northern Mindanao),Mahogany,60 cm and above,-
2011,X (Northern Mindanao),Malugay,60 cm and above,-
2011,X (Northern Mindanao),Marang,60 cm and above,-
2011,X (Northern Mindanao),Mayapis,60 cm and above,-
2011,X (Northern Mindanao),Nato,60 cm and above,-
2011,X (Northern Mindanao),Tangile,60 cm and above,-
2011,X (Northern Mindanao),Toog,60 cm and above,-
2011,X (Northern Mindanao),Yakal,60 cm and above,-
2011,XI (Davao Region),Acacia,60 cm and above,-
2011,XI (Davao Region),Almon,60 cm and above,3800
2011,XI (Davao Region),Apitong,60 cm and above,3000
2011,XI (Davao Region),Bagras,60 cm and above,3000
2011,XI (Davao Region),Bagtikan,60 cm and above,3800
2011,XI (Davao Region),Binuang,60 cm and above,3000
2011,XI (Davao Region),Dangula,60 cm and above,-
2011,XI (Davao Region),Falcata,60 cm and above,2941
2011,XI (Davao Region),Gmelina,60 cm and above,-
2011,XI (Davao Region),Lauan,60 cm and above,5815
2011,XI (Davao Region),Loktob,60 cm and above,3000
2011,XI (Davao Region),Mahogany,60 cm and above,3000
2011,XI (Davao Region),Malugay,60 cm and above,-
2011,XI (Davao Region),Marang,60 cm and above,-
2011,XI (Davao Region),Mayapis,60 cm and above,-
2011,XI (Davao Region),Nato,60 cm and above,-
2011,XI (Davao Region),Tangile,60 cm and above,3800
2011,XI (Davao Region),Toog,60 cm and above,-
2011,XI (Davao Region),Yakal,60 cm and above,-
2011,XII (SOCCSKSARGEN),Acacia,60 cm and above,3000
2011,XII (SOCCSKSARGEN),Almon,60 cm and above,-
2011,XII (SOCCSKSARGEN),Apitong,60 cm and above,-
2011,XII (SOCCSKSARGEN),Bagras,60 cm and above,-
2011,XII (SOCCSKSARGEN),Bagtikan,60 cm and above,-
2011,XII (SOCCSKSARGEN),Binuang,60 cm and above,-
2011,XII (SOCCSKSARGEN),Dangula,60 cm and above,-
2011,XII (SOCCSKSARGEN),Falcata,60 cm and above,-
2011,XII (SOCCSKSARGEN),Gmelina,60 cm and above,5088
2011,XII (SOCCSKSARGEN),Lauan,60 cm and above,-
2011,XII (SOCCSKSARGEN),Loktob,60 cm and above,-
2011,XII (SOCCSKSARGEN),Mahogany,60 cm and above,-
2011,XII (SOCCSKSARGEN),Malugay,60 cm and above,-
2011,XII (SOCCSKSARGEN),Marang,60 cm and above,-
2011,XII (SOCCSKSARGEN),Mayapis,60 cm and above,-
2011,XII (SOCCSKSARGEN),Nato,60 cm and above,-
2011,XII (SOCCSKSARGEN),Tangile,60 cm and above,-
2011,XII (SOCCSKSARGEN),Toog,60 cm and above,-
2011,XII (SOCCSKSARGEN),Yakal,60 cm and above,-
2011,XIII (Caraga),Acacia,60 cm and above,-
2011,XIII (Caraga),Almon,60 cm and above,-
2011,XIII (Caraga),Apitong,60 cm and above,4300
2011,XIII (Caraga),Bagras,60 cm and above,-
2011,XIII (Caraga),Bagtikan,60 cm and above,-
2011,XIII (Caraga),Binuang,60 cm and above,-
2011,XIII (Caraga),Dangula,60 cm and above,3500
2011,XIII (Caraga),Falcata,60 cm and above,1229
2011,XIII (Caraga),Gmelina,60 cm and above,-
2011,XIII (Caraga),Lauan,60 cm and above,6500
2011,XIII (Caraga),Loktob,60 cm and above,-
2011,XIII (Caraga),Mahogany,60 cm and above,-
2011,XIII (Caraga),Malugay,60 cm and above,3500
2011,XIII (Caraga),Marang,60 cm and above,3000
2011,XIII (Caraga),Mayapis,60 cm and above,-
2011,XIII (Caraga),Nato,60 cm and above,4500
2011,XIII (Caraga),Tangile,60 cm and above,-
2011,XIII (Caraga),Toog,60 cm and above,3950
2011,XIII (Caraga),Yakal,60 cm and above,6000
2010,National,Acacia,60 cm and above,5920
2010,National,Almon,60 cm and above,3800
2010,National,Apitong,60 cm and above,4743.25
2010,National,Bagtikan,60 cm and above,4933.33
2010,National,Binuang,60 cm and above,3000
2010,National,Dangula,60 cm and above,3500
2010,National,Falcata,60 cm and above,2696.5
2010,National,Gmelina,60 cm and above,8820.5
2010,National,Guijo,60 cm and above,5000
2010,National,Ipil-Ipil,60 cm and above,1350
2010,National,Lauan,60 cm and above,5850
2010,National,Loktob,60 cm and above,3000
2010,National,Mahogany,60 cm and above,7173.5
2010,National,Malugay,60 cm and above,3500
2010,National,Mayapis,60 cm and above,5500
2010,National,Nato,60 cm and above,4500
2010,National,Tangile,60 cm and above,4933.33
2010,National,Toog,60 cm and above,5900
2010,National,Yakal,60 cm and above,6000
2010,NCR,Acacia,60 cm and above,-
2010,NCR,Almon,60 cm and above,-
2010,NCR,Apitong,60 cm and above,5000
2010,NCR,Bagtikan,60 cm and above,5000
2010,NCR,Binuang,60 cm and above,-
2010,NCR,Dangula,60 cm and above,-
2010,NCR,Falcata,60 cm and above,-
2010,NCR,Gmelina,60 cm and above,-
2010,NCR,Guijo,60 cm and above,5000
2010,NCR,Ipil-Ipil,60 cm and above,-
2010,NCR,Lauan,60 cm and above,5000
2010,NCR,Loktob,60 cm and above,-
2010,NCR,Mahogany,60 cm and above,-
2010,NCR,Malugay,60 cm and above,-
2010,NCR,Mayapis,60 cm and above,5000
2010,NCR,Nato,60 cm and above,-
2010,NCR,Tangile,60 cm and above,5000
2010,NCR,Toog,60 cm and above,-
2010,NCR,Yakal,60 cm and above,-
2010,CAR,Acacia,60 cm and above,-
2010,CAR,Almon,60 cm and above,-
2010,CAR,Apitong,60 cm and above,5000
2010,CAR,Bagtikan,60 cm and above,-
2010,CAR,Binuang,60 cm and above,-
2010,CAR,Dangula,60 cm and above,-
2010,CAR,Falcata,60 cm and above,-
2010,CAR,Gmelina,60 cm and above,-
2010,CAR,Guijo,60 cm and above,-
2010,CAR,Ipil-Ipil,60 cm and above,-
2010,CAR,Lauan,60 cm and above,-
2010,CAR,Loktob,60 cm and above,-
2010,CAR,Mahogany,60 cm and above,-
2010,CAR,Malugay,60 cm and above,-
2010,CAR,Mayapis,60 cm and above,-
2010,CAR,Nato,60 cm and above,-
2010,CAR,Tangile,60 cm and above,-
2010,CAR,Toog,60 cm and above,-
2010,CAR,Yakal,60 cm and above,-
2010,III (Central Luzon),Acacia,60 cm and above,-
2010,III (Central Luzon),Almon,60 cm and above,-
2010,III (Central Luzon),Apitong,60 cm and above,-
2010,III (Central Luzon),Bagtikan,60 cm and above,6000
2010,III (Central Luzon),Binuang,60 cm and above,-
2010,III (Central Luzon),Dangula,60 cm and above,-
2010,III (Central Luzon),Falcata,60 cm and above,-
2010,III (Central Luzon),Gmelina,60 cm and above,-
2010,III (Central Luzon),Guijo,60 cm and above,-
2010,III (Central Luzon),Ipil-Ipil,60 cm and above,-
2010,III (Central Luzon),Lauan,60 cm and above,-
2010,III (Central Luzon),Loktob,60 cm and above,-
2010,III (Central Luzon),Mahogany,60 cm and above,-
2010,III (Central Luzon),Malugay,60 cm and above,-
2010,III (Central Luzon),Mayapis,60 cm and above,6000
2010,III (Central Luzon),Nato,60 cm and above,-
2010,III (Central Luzon),Tangile,60 cm and above,6000
2010,III (Central Luzon),Toog,60 cm and above,-
2010,III (Central Luzon),Yakal,60 cm and above,-
2010,V (Bicol Region),Acacia,60 cm and above,8840
2010,V (Bicol Region),Almon,60 cm and above,-
2010,V (Bicol Region),Apitong,60 cm and above,-
2010,V (Bicol Region),Bagtikan,60 cm and above,-
2010,V (Bicol Region),Binuang,60 cm and above,-
2010,V (Bicol Region),Dangula,60 cm and above,-
2010,V (Bicol Region),Falcata,60 cm and above,-
2010,V (Bicol Region),Gmelina,60 cm and above,7632
2010,V (Bicol Region),Guijo,60 cm and above,-
2010,V (Bicol Region),Ipil-Ipil,60 cm and above,-
2010,V (Bicol Region),Lauan,60 cm and above,-
2010,V (Bicol Region),Loktob,60 cm and above,-
2010,V (Bicol Region),Mahogany,60 cm and above,-
2010,V (Bicol Region),Malugay,60 cm and above,-
2010,V (Bicol Region),Mayapis,60 cm and above,-
2010,V (Bicol Region),Nato,60 cm and above,-
2010,V (Bicol Region),Tangile,60 cm and above,-
2010,V (Bicol Region),Toog,60 cm and above,-
2010,V (Bicol Region),Yakal,60 cm and above,-
2010,VII (Central Visayas),Acacia,60 cm and above,-
2010,VII (Central Visayas),Almon,60 cm and above,-
2010,VII (Central Visayas),Apitong,60 cm and above,-
2010,VII (Central Visayas),Bagtikan,60 cm and above,-
2010,VII (Central Visayas),Binuang,60 cm and above,-
2010,VII (Central Visayas),Dangula,60 cm and above,-
